id,title,link,description,pubDate,source_id,category,country,language
11,Liên tiếp các vụ học sinh ngộ độc thực phẩm: Hồi chuông cảnh báo với các trường học,https://giadinh.suckhoedoisong.vn/lien-tiep-cac-vu-hoc-sinh-ngo-doc-thuc-pham-hoi-chuong-canh-bao-voi-cac-truong-hoc-172230330083932554.htm,"GĐXH - Vụ hơn 70 học sinh Trường Tiểu học Kim Giang (Thanh Xuân, Hà Nội) có các biểu hiện ngộ độc thực phẩm sau chuyến dã ngoại đang nhận được sự quan tâm của dư luận. Trước đó, không ít cơ sở giáo dục đã để xảy ra tình trạng tương tự và gây hậu quả nghiêm trọng.",2023-03-30 02:48:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
12,"Ra tù hơn 10 ngày, thanh niên mang biệt danh 'Mèo đen' tiếp tục gây án",https://giadinh.suckhoedoisong.vn/ra-tu-hon-10-ngay-thanh-nien-mang-biet-danh-meo-den-tiep-tuc-gay-an-172230330083501851.htm,"Hơn 10 ngày sau khi thi hành xong bản án 2 năm tù về tội Trộm cắp tài sản, Lê Đức Anh (SN 1995, quê quán Hà Tĩnh, mang biệt danh “Mèo đen”), đã tái phạm với thủ đoạn táo tợn.",2023-03-30 02:32:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
13,Thêm 2 đơn vị tiếp tục được liên kết tổ chức thi cấp chứng chỉ tiếng Anh,https://giadinh.suckhoedoisong.vn/them-2-don-vi-tiep-tuc-duoc-lien-ket-to-chuc-thi-cap-chung-chi-tieng-anh-172230330091326398.htm,Bộ GD&ĐT vừa ban hành hai quyết định phê duyệt liên kết tổ chức thi cấp chứng chỉ ngoại ngữ tiếng Anh cho 2 đơn vị.,2023-03-30 02:13:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
14,"10 dấu hiệu 'chỉ điểm' ung thư, có 1 cũng cần đi khám ngay",https://giadinh.suckhoedoisong.vn/10-dau-hieu-chi-diem-ung-thu-co-1-cung-can-di-kham-ngay-172230329211558529.htm,"Ung thư tại Việt Nam hiện vẫn đang là gánh nặng, do bệnh thường được phát hiện ở giai đoạn muộn khiến cho quá trình điều trị khó khăn, tăng nguy cơ tử vong.",2023-03-30 02:12:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
15,Làm sao đảm bảo an toàn cho học sinh tham gia hoạt động trải nghiệm ngoài nhà trường?,https://giadinh.suckhoedoisong.vn/lam-sao-dam-bao-an-toan-cho-hoc-sinh-tham-gia-hoat-dong-trai-nghiem-ngoai-nha-truong-172230330090843523.htm,Sự việc học sinh Trường tiểu học Kim Giang (Hà Nội) nghi ngộ độc thực phẩm trong quá trình đi trải nghiệm lại một lần nữa gióng lên hồi chuông cảnh báo về việc bảo đảm an toàn cho học sinh khi tham gia các hoạt động giáo dục ngoài nhà trường.,2023-03-30 02:08:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
16,Nguyễn Thị Tâm tạo nên lịch sử boxing Việt Nam,https://giadinh.suckhoedoisong.vn/nguyen-thi-tam-tao-nen-lich-su-boxing-viet-nam-172230328115758545.htm,"GĐXH - Tuy tay đấm Nguyễn Thị Tâm đã không thể có được tấm Huy chương Vàng như người hâm mộ chờ đợi tại giải boxing nữ vô địch thế giới 2023. Tuy nhiên, đây chính là thành quả vô cùng đáng ngưỡng mộ của đội tuyển Việt Nam trong các lần thi đấu.",2023-03-30 02:03:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
17,Hồ Văn Cường thay đổi thế nào từ khi được Ngọc Sơn nâng đỡ?,https://giadinh.suckhoedoisong.vn/ho-van-cuong-thay-doi-the-nao-tu-khi-duoc-ngoc-son-nang-do-172230329155027382.htm,"Thời gian gần đây, nam ca sỹ trẻ được nhận xét ngày càng điển trai và sở hữu gu ăn mặc sành điệu hơn trước rất nhiều.",2023-03-30 02:00:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
18,"Thương tâm, cháu bé đi lạc được phát hiện tử vong dưới hồ nước",https://giadinh.suckhoedoisong.vn/thuong-tam-chau-be-di-lac-duoc-phat-hien-tu-vong-duoi-ho-nuoc-172230330084736492.htm,"GĐXH - Sau khi đi lạc khỏi trường Trẻ em Khuyết tật tỉnh Quảng Trị, cháu Đ. được phát hiện tử vong dưới hồ Khe Mây.",2023-03-30 01:50:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
19,Siết cổ vợ tử vong vì không được ngủ chung,https://giadinh.suckhoedoisong.vn/siet-co-vo-tu-vong-vi-khong-duoc-ngu-chung-172230330081447404.htm,"Siết cổ vợ tử vong vì không được gần gũi, ngủ chung, bị cáo Lê Thế Lưu bị tòa tuyên 20 năm tù về tội Giết người.",2023-03-30 01:43:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
20,Xôn xao 2 người ở Đồng Nai bấm được 4 biển số xe máy siêu VIP,https://giadinh.suckhoedoisong.vn/xon-xao-2-nguoi-o-dong-nai-bam-duoc-4-bien-so-xe-may-sieu-vip-172230330082810538.htm,Hai người dân ở Đồng Nai bấm được 4 biển số xe máy siêu VIP là 60B6-88.888 và biển số: 60B6-88.868…,2023-03-30 01:28:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
21,"'Dưới bóng cây hạnh phúc' kết thúc: Đạt làm điều khó tin, cái kết mở cho Tố và Nhài",https://giadinh.suckhoedoisong.vn/duoi-bong-cay-hanh-phuc-ket-thuc-dat-lam-dieu-kho-tin-cai-ket-mo-cho-to-va-nhai-172230330082223976.htm,"Sau nhiều sóng gió, cuối cùng các cặp đôi trong gia đình ông Công cũng sống hạnh phúc bên nhau.",2023-03-30 01:22:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
22,6 tác hại khi không thoa kem chống nắng đều đặn,https://giadinh.suckhoedoisong.vn/6-tac-hai-khi-khong-thoa-kem-chong-nang-deu-dan-172230322160300639.htm,"Làn da không được bảo vệ đúng cách trước tác hại của tia UV có thể trở nên sạm đen, nổi mụn, lão hóa sớm.",2023-03-30 01:20:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
23,"Giá vé máy bay tăng mạnh dịp 30/4, có chặng hơn 8 triệu đồng/khứ hồi",https://giadinh.suckhoedoisong.vn/gia-ve-may-bay-tang-manh-dip-30-4-co-chang-hon-8-trieu-dong-khu-hoi-172230327114107038.htm,"Dù một tháng tới mới đến dịp lễ 30/4 - 1/5, nhưng hiện giá vé máy bay từ Hà Nội tới các thành phố du lịch trọng điểm đều đang rất cao, nhiều chuyến đã thông báo hết vé.",2023-03-30 01:15:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
24,Truy tìm giám đốc người Trung Quốc nghi sát hại nữ kế toán,https://giadinh.suckhoedoisong.vn/truy-tim-giam-doc-nguoi-trung-quoc-nghi-sat-hai-nu-ke-toan-17223033008080617.htm,"Công an tỉnh Bình Dương phát đi thông báo truy tìm giám đốc người Trung Quốc nghi giết nữ kế toán. Sau khi án mạng xảy ra, người đàn ông này rời khỏi công ty cùng chiếc xe bán tải màu trắng.",2023-03-30 01:08:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
25,"'Nữ nhi quốc' trong đời thực: Người phụ nữ có quyền chi phối mọi thứ, không có khái niệm hôn nhân và 'bố'",https://giadinh.suckhoedoisong.vn/nu-nhi-quoc-trong-doi-thuc-nguoi-phu-nu-co-quyen-chi-phoi-moi-thu-khong-co-khai-niem-hon-nhan-va-bo-172230321074801195.htm,"Ngày nay, người Mosuo được mệnh danh là ""đóa hồng cuối cùng của văn hóa mẫu hệ phương Đông"".",2023-03-30 00:47:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
26,Cùng một mẹ sinh ra mà các con tôi như 2 thái cực đối lập,https://giadinh.suckhoedoisong.vn/cung-mot-me-sinh-ra-ma-cac-con-toi-nhu-2-thai-cuc-doi-lap-172230329212146976.htm,"Tôi chỉ ước đứa con thứ được một góc của con đứa cả là mãn nguyện rồi. Vậy mà, ước mơ nhỏ nhoi của tôi không thể thực hiện được.",2023-03-30 00:34:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
27,Những mẫu nhà cấp 4 đẹp đáng để tham khảo,https://giadinh.suckhoedoisong.vn/nhung-mau-nha-cap-4-dep-dang-de-tham-khao-17223032815341882.htm,"Nếu biết cách tính toán chi ly, tối ưu các khoản phí xây dựng, bạn hoàn toàn có thể sở hữu mẫu nhà cấp 4 đẹp giá rẻ 100 triệu đồng.",2023-03-30 00:34:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
28,Mẹ không muốn kiếp sau tôi là con mẹ,https://giadinh.suckhoedoisong.vn/me-khong-muon-kiep-sau-toi-la-con-me-172230328093812085.htm,"Hoàn cảnh khó khăn, mẹ bất lực, tự trách khi không thể cho tôi cuộc sống đủ đầy, phải thua thiệt chúng bạn.",2023-03-30 00:32:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
29,"Một kiểu 'dậy sớm' có hại không kém thức khuya, có nguy cơ đột tử",https://giadinh.suckhoedoisong.vn/mot-kieu-day-som-co-hai-khong-kem-thuc-khuya-co-nguy-co-dot-tu-172230329211502717.htm,"Ai cũng hiểu chân lý 'ngủ sớm, dậy sớm tốt cho sức khỏe', nhưng nếu cứ mù quáng chạy theo việc dậy sớm mà không xem xét tình trạng cụ thể của cơ thể thì rất có thể bạn sẽ phải rước hậu quả trầm trọng.",2023-03-30 00:30:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
30,"Thời tiết hôm nay (30/3): Cảnh báo mưa dông nhiều nơi, đợt lạnh miền Bắc có xu hướng kết thúc",https://giadinh.suckhoedoisong.vn/thoi-tiet-hom-nay-30-3-canh-bao-mua-dong-nhieu-noi-dot-lanh-mien-bac-co-xu-huong-ket-thuc-172230330061135554.htm,"GĐXH - Theo dự báo thời tiết hôm nay (30/3), nhiều khu vực trên cả nước cần lưu ý mưa dông kèm theo thời tiết nguy hiểm. Đợt lạnh cuối mùa miền Bắc đang có dấu hiệu kết thúc khi nhiệt độ ban ngày tiếp tục tăng lên, nhiệt độ dao động trong khoảng 23-26 độ. Thời tiết hôm nay thế nào?",2023-03-30 00:28:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
31,"Kết quả xổ số hôm qua (ngày 29/3/2023) ở miền Bắc, Đà Nẵng, Khánh Hòa, Cần Thơ, Đồng Nai, Sóc Trăng",https://giadinh.suckhoedoisong.vn/ket-qua-xo-so-hom-qua-ngay-29-3-2023-o-mien-bac-da-nang-khanh-hoa-can-tho-dong-nai-soc-trang-172230329230324538.htm,"GĐXH - Mời độc giả cùng tra cứu lại kết quả xổ số hôm qua thứ Tư ngày 29/3/2023: Xổ số miền Nam - KQXSMN, xổ số miền Trung - KQXSMT, xổ số miền Bắc - KQXSMB, xổ số Vietlott - KQXS Vietlott.",2023-03-30 00:26:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
32,"2 món rau ăn ngon, giúp kiểm soát đường huyết",https://giadinh.suckhoedoisong.vn/2-mon-rau-an-ngon-giup-kiem-soat-duong-huyet-17223032815241981.htm,"Nếu bạn đang cần tìm thực phẩm cho chế độ ăn lành mạnh của mình, đừng nên bỏ qua 2 loại rau này.",2023-03-30 00:24:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
33,"Mẹ dẫn nhân tình về nhà ""mây mưa"", con trai 3 tuổi hồn nhiên nói với bố: ""Mẹ cùng chú nào đó trong phòng, con và em ở ngoài xem tivi""",https://giadinh.suckhoedoisong.vn/me-dan-nhan-tinh-ve-nha-may-mua-con-trai-3-tuoi-hon-nhien-noi-voi-bo-me-cung-chu-nao-do-trong-phong-con-va-em-o-ngoai-xem-tivi-172230329162527851.htm,"GĐXH - Ngày hôm đó, nhân lúc chồng đi vắng, để tăng thêm sự kích thích, cô ngang nhiên đem nhân tình về nhà. Mặc dù trong nhà vẫn còn hai con trai, cô vẫn không hề ngần ngại.",2023-03-30 00:05:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
34,"Điểm danh 5 thức uống giúp da đẹp trắng sáng, mịn màng",https://giadinh.suckhoedoisong.vn/diem-danh-5-thuc-uong-giup-da-dep-trang-sang-min-mang-172230328084300492.htm,"GĐXH - Bên cạnh chế độ dinh dưỡng lành mạnh tốt cho làn da, những thức uống bổ dưỡng từ thiên nhiên cũng là lựa chọn hoàn hảo để làn da thêm trắng sáng, mịn màng. Sau đây là 5 thức uống bạn không thể bỏ qua.",2023-03-30 00:01:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
35,Sức khỏe bé trai hơn 2 tuổi bị bệnh tim bẩm sinh đã tốt lên sau khi được phẫu thuật,https://giadinh.suckhoedoisong.vn/suc-khoe-be-trai-hon-2-tuoi-bi-benh-tim-bam-sinh-da-tot-len-sau-khi-duoc-phau-thuat-172230329143600123.htm,"GĐXH– Nhờ sự giúp đỡ của những tấm lòng hảo tâm, bé Duy Anh ở Yên Mỹ, Hưng Yên đã được phẫu thuật kịp thời lần thứ 4. Hiện sức khỏe của con đã ổn định, khỏe hơn trước.",2023-03-30 00:00:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
36,"MC ""Chúng tôi là chiến sĩ"" Hoàng Linh: Hạnh phúc bên ông xã là đạo diễn truyền hình, chuẩn bị chào đón con thứ 3",https://giadinh.suckhoedoisong.vn/mc-chung-toi-la-chien-si-hoang-linh-hanh-phuc-ben-ong-xa-la-dao-dien-truyen-hinh-chuan-bi-chao-don-con-thu-3-172230329154705976.htm,"Trong năm nay, tổ ấm của MC Hoàng Linh sẽ càng thêm hạnh phúc, viên mãn khi đón thêm một em bé đáng yêu, thành viên mới của gia đình.",2023-03-30 00:00:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
37,Tin 30/3: Xót xa 2 đứa trẻ mồ côi cha sau cú tông của tài xế taxi; miền Bắc sắp đón không khí lạnh sau nắng nóng ngắn ngày,https://giadinh.suckhoedoisong.vn/tin-30-3-xot-xa-2-dua-tre-mo-coi-cha-sau-cu-tong-cua-tai-xe-taxi-mien-bac-sap-don-khong-khi-lanh-sau-nang-nong-ngan-ngay-172230329070524054.htm,"GĐXH - Nỗi đau rồi sẽ nguôi ngoai nhưng phía trước 2 cậu con trai của Vũ Trung Dũng là chặng đường trưởng thành dài, thiếu vắng bóng người cha; Dự kiến đêm 3/4, miền Bắc sẽ đón không khí lạnh khá mạnh, gây mưa dông sau khi trải qua ngày nắng nóng lên tới 35 độ C.",2023-03-29 23:50:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
38,Trường chuyên đầu tiên ở TP.HCM công bố chỉ tiêu tuyển sinh lớp 10,https://giadinh.suckhoedoisong.vn/truong-chuyen-dau-tien-o-tphcm-cong-bo-chi-tieu-tuyen-sinh-lop-10-172230330062547632.htm,"Trường Phổ thông Năng khiếu (ĐH Quốc gia TP.HCM) vừa công bố chỉ tiêu tuyển sinh, môn thi lớp 10 năm 2023.",2023-03-29 23:25:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
39,Cách đăng ký nguyện vọng vào lớp 10 để tránh... trượt oan,https://giadinh.suckhoedoisong.vn/cach-dang-ky-nguyen-vong-vao-lop-10-de-tranh-truot-oan-17223033006195781.htm,"Không ít phụ huynh đặt kỳ vọng cao hơn, đăng ký nguyện vọng cao hơn năng lực thực tế của con em mình rất nhiều, khiến học sinh vừa bị áp lực vừa có nguy cơ trượt mất cơ hội.",2023-03-29 23:19:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
40,"Có đường bay, từ Hà Nội đến Cà Mau chỉ hơn 2 tiếng",https://giadinh.suckhoedoisong.vn/co-duong-bay-tu-ha-noi-den-ca-mau-chi-hon-2-tieng-172230330061720342.htm,"Ngày 29/3, tỉnh Cà Mau đã có buổi làm việc với Bamboo Airways liên quan công tác chuẩn bị khai thác đường bay Hà Nội - Cà Mau và ngược lại.",2023-03-29 23:17:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
41,Công an Hà Nội cảnh báo thủ đoạn lừa đảo mới nhằm vào học sinh,https://giadinh.suckhoedoisong.vn/cong-an-ha-noi-canh-bao-thu-doan-lua-dao-moi-nham-vao-hoc-sinh-172230329205938201.htm,"GĐXH - Ngày 29/3, Công an TP Hà Nội phát đi cảnh báo về những thủ đoạn mới của các đối tượng xấu nhằm vào học sinh.",2023-03-29 14:46:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
42,Nữ kế toán tử vong trong nhà vệ sinh công ty nghi bị giám đốc sát hại,https://giadinh.suckhoedoisong.vn/cong-an-ha-noi-canh-bao-thu-doan-moi-lua-hoc-sinh-bo-me-con-bi-tai-nan-172230329211646382.htm,"Qua khám nghiệm, cơ quan chức năng ghi nhận nạn nhân chết trong tư thế nằm úp trên vũng máu trong nhà vệ sinh, cách đó khoảng 2 mét có một con dao dính máu.",2023-03-29 14:16:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
43,"Mua giấy phép lái xe, thẻ nhà báo trên mạng để đối phó với CSGT nhưng bất thành",https://giadinh.suckhoedoisong.vn/mua-giay-phep-lai-xe-the-nha-bao-tren-mang-de-doi-pho-voi-csgt-nhung-bat-thanh-172230329211144654.htm,"Qua quá trình tuần tra kiểm soát (TTKS), lực lượng CSGT thuộc Cục CSGT đã phát hiện đối tượng sử dụng giấy phép lái xe và thẻ nhà báo giả. Đối tượng khai nhận mua trên mạng với giá 20.000.000 đồng để điều khiển phương tiện và xuất trình khi bị các lực lượng chức năng kiểm tra.",2023-03-29 14:11:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
44,Hồng Diễm trẻ trung ngỡ ngàng ở tuổi 40,https://giadinh.suckhoedoisong.vn/hong-diem-tre-trung-ngo-ngang-o-tuoi-40-172230329210747038.htm,"Nữ diễn viên Hồng Diễm đánh dấu tuổi 40 của mình bằng bộ ảnh kín đáo, khoe nhan sắc trẻ trung, xinh đẹp.",2023-03-29 14:07:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
45,"Sốc với loạt ảnh tại ""kinh đô ánh sáng"" Paris: 10.000 tấn rác chồng chất như núi, vẻ hoa lệ ngày nào bị xóa nhòa bởi mùi hôi thối",https://giadinh.suckhoedoisong.vn/soc-voi-loat-anh-tai-kinh-do-anh-sang-paris-10000-tan-rac-chong-chat-nhu-nui-ve-hoa-le-ngay-nao-bi-xoa-nhoa-boi-mui-hoi-thoi-172230320094915023.htm,"Theo ước tính, lượng rác trên đường phố thủ đô Paris đã tăng thêm gần 3.000 tấn, nâng tổng số rác không được thu gom lên con số 10.000 tấn.",2023-03-29 13:47:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
46,Rau kinh giới có tác dụng gì?,https://giadinh.suckhoedoisong.vn/rau-kinh-gioi-co-tac-dung-gi-172230329173219648.htm,"Kinh giới vừa là một vị thuốc Đông y lại vừa là loại rau gia vị quen thuộc, vậy, rau kinh giới có tác dụng gì?",2023-03-29 13:30:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
47,PSG có ý định nghiêm túc với Kante,https://bongdaplus.vn/tin-chuyen-nhuong/psg-co-y-dinh-nghiem-tuc-voi-kante-3947962303.html,PSG hiện có kế hoạch đưa tiền vệ N'Golo Kante từ PSG trở lại Ligue 1 theo dạng chuyển nhượng tự do vào mùa Hè 2023.,2023-03-29 13:18:27,bongdaplus,sports,Vietnam,Vietnamese
48,"Sát hại thiếu tá công an, gã giang hồ đất Cảng lẩn trốn 17 năm bị tuyên phạt án chung thân",https://giadinh.suckhoedoisong.vn/sat-hai-thieu-ta-cong-an-ga-giang-ho-dat-cang-lan-tron-17-nam-bi-tuyen-phat-an-chung-than-172230329200903295.htm,"GĐXH - Sau 17 năm lẩn trốn khi cùng đồng bọn sát hại thiếu tá công an, Bùi Đắc Thành đã sa lưới pháp luật vào tháng 8/2022. Bị cáo này đã bị Tòa án nhân dân TP. Hải Phòng tuyên phạt án chung thân về tội giết người.",2023-03-29 13:13:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
49,Tử hình người cha dùng dao dâm chết con gái và bạn trai,https://giadinh.suckhoedoisong.vn/tu-hinh-nguoi-cha-dung-dao-dam-chet-con-gai-va-ban-trai-17223032919341481.htm,"GĐXH - Sau khi hai bố con cãi nhau, con gái được bạn trai chở đi nơi khác. Bực tức, Ngọc thủ sẵn dao trong xe máy đi tìm rồi đâm chết con gái và bạn trai của con.",2023-03-29 13:07:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
50,"Cứu hơn 1,5 tỷ đồng tiền mặt cho người dân khi bị kẻ ngáo đá đốt nhà",https://giadinh.suckhoedoisong.vn/cuu-hon-15-ty-dong-tien-mat-cho-nguoi-dan-khi-bi-ke-ngao-da-dot-nha-172230329184537445.htm,"Chiều nay (29/3), lực lượng Phòng cháy chữa cháy - Cứu nạn cứu hộ, Công an TP. Thủ Dầu Một, tỉnh Bình Dương đã kịp thời dập tắt đám cháy ở cơ sở kinh doanh tại phường Phú Hòa.",2023-03-29 12:30:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
51,"Bé gái bật khóc vì được khen giống bố, bất ngờ hơn là lý do cô bé đưa ra",https://giadinh.suckhoedoisong.vn/be-gai-bat-khoc-vi-duoc-khen-giong-bo-bat-ngo-hon-la-ly-do-co-be-dua-ra-172230329152458842.htm,"GĐXH - Nhiều người đến nhà chơi khen cô bé giống bố. Tuy nhiên, lời khen này không được cô bé tiếp nhận mà khiến em bật khóc.",2023-03-29 12:28:00,giadinhsuckhoedoisong,sports,Vietnam,Vietnamese
